"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,0,2,5,4,0,0,1
2,4,2,2,6,4,1,0,2,3
3,2,3,0,2,4,1,0,0,1
4,9,4,1,6,3,3,0,0,2
5,3,5,0,2,5,3,0,0,1
6,5,6,0,5,5,3,0,0,3
7,3,7,1,2,3,3,0,0,1
8,2,8,0,0,1,2,0,0,0
9,8,9,2,8,4,3,0,2,3
10,7,10,0,3,6,4,0,1,1
11,5,11,0,2,4,1,0,0,1
12,6,12,0,8,6,3,0,0,4
13,4,1,0,6,4,2,0,0,3
14,7,2,1,8,6,3,0,1,4
15,4,3,0,1,4,2,0,0,1
16,2,4,1,5,3,1,0,0,3
17,3,5,0,0,4,1,0,0,0
18,7,6,0,3,5,3,0,0,1
19,1,7,0,3,3,1,0,0,2
20,3,8,0,3,5,1,0,1,2
21,3,9,0,3,3,2,0,0,2
22,4,10,0,6,3,0,0,0,3
23,7,11,0,3,5,2,0,0,1
24,3,12,0,3,4,1,0,0,2
25,4,1,0,2,4,2,0,0,1
26,7,2,0,7,2,2,0,0,3
27,1,3,0,2,3,0,0,0,1
28,4,4,0,6,4,1,0,1,3
29,2,5,0,2,4,0,0,0,1
30,9,6,0,3,3,3,0,0,1
31,7,7,0,2,5,3,0,0,1
32,6,8,1,4,3,4,0,0,2
33,2,9,0,6,4,1,0,0,4
34,3,10,0,4,4,1,0,0,2
35,4,11,0,7,4,3,0,0,4
36,7,12,0,1,5,1,0,0,0
37,4,1,0,2,2,1,0,0,1
38,2,2,1,3,1,2,0,1,2
39,3,3,0,2,2,3,0,0,1
40,3,4,0,4,4,2,0,0,2
41,3,5,0,0,5,2,0,0,0
42,4,6,0,3,4,2,0,0,2
43,2,7,0,3,6,1,0,0,2
44,3,8,0,2,4,2,0,0,1
45,9,9,0,6,1,3,0,0,2
46,2,10,1,5,5,1,0,0,3
47,6,11,0,6,4,2,0,0,3
48,7,12,1,4,5,1,0,1,2
49,2,1,0,4,3,2,0,0,2
50,4,2,0,2,2,2,0,0,1
51,7,3,0,5,5,4,0,0,2
52,6,4,0,5,4,2,0,0,3
53,2,5,0,0,2,1,0,0,0
54,1,6,0,0,3,1,0,0,0
55,8,7,0,5,4,3,0,0,2
56,7,8,0,1,5,0,0,0,0
57,3,9,1,6,2,1,0,1,3
58,9,10,1,6,4,3,0,0,3
59,4,11,1,8,4,2,0,1,4
60,5,12,1,8,2,3,0,1,4
